application,date,country_of_origin,panel_members,outcome,protected_grounds,based_violence,keywords,references,sex_of_applicant
,2017-09-25,Colombia,Charles Adkins-Blanch; Anne J. Greer; Hugh Mullane,remand,,,,,male
,2017-10-31,Dominican Republic,Edward F. Kelly; Ana Landazabal Mann,grant,,,,,male
,2015-12-23,Mexico,Edward R. Grant,sustain,,family-based,child; wife,,male
,2017-09-01,Mexico,Blair O'Connor,grant,,,,,male
,2017-05-24,Honduras,Edward R. Grant; Garry D. Malphrus; Charles Adkins-Blanch; Gabriel Gonzalez; Philip J. Montante Jr.,remand,,,,,male
,2015-10-21,Philippines,Edward R. Grant,sustain,,,,,female
,2017-02-07,,Hugh Mullane,,,,,,male
,2017-09-28,Mexico,Charles Adkins-Blanch; Anne J. Greer; Edward R. Grant,deny,,,,,male
,2017-11-02,,Ellen Liebowitz,return,,,,,unkown
,2015-05-26,Mexico,Sirce E. Owen,grant,,,,,male
,2015-12-30,,Anne J. Greer,remand,,family-based,family,,unkown
,2017-11-22,Mexico,Edward R. Grant,remand,,,,,unkown
,2017-09-05,,Philip J. Montante Jr.,remand,,,,,male
,2015-05-08,India,Ana Landazabal Mann; Michael J. Creppy,grant,nationality,,,,male
,2017-07-18,Jamaica,Ellen Liebowitz; Hugh Mullane,,,family-based,child; partner,,male
,2017-01-26,El Salvador,Charles Adkins-Blanch; Ana Landazabal Mann,sustain,,,,,male
,2015-07-15,El Salvador,Earle B. Wilson; Sirce E. Owen,remand,,family-based,parent,,male
,2017-06-02,Haiti,Blair O'Connor,terminate,,,,,male
,2015-06-26,Mexico,Charles Adkins-Blanch,grant,,,,,male
,2015-04-28,Honduras,Edward R. Grant,sustain,,,,,female
,2017-06-29,Dominican Republic,Charles Adkins-Blanch; Edward F. Kelly,remand,,family-based,family,,male
,2017-01-19,Philippines,Garry D. Malphrus,sustain,,,,,male
,2017-08-10,India,Anne J. Greer,deny,,,,,male
,2015-09-03,Georgia,Earle B. Wilson; Joan B. Geller,terminate,,,,,male
,2017-03-08,China,Anne J. Greer,terminate,,,,,female
,2017-10-10,India,Ana Landazabal Mann; William A. Cassidy,sustain,nationality,,,,male
,2017-12-07,Brazil,Ana Landazabal Mann; Edward F. Kelly,terminate,,,,,female
,2015-03-19,Tanzania,Anne J. Greer,remand,,,,,male
,2015-07-14,Mexico,Gabriel Gonzalez,remand,,gang-based,gang,,female
,2017-11-22,Yemen,Anne J. Greer; Garry D. Malphrus; Hugh Mullane,sustain,,,,,male
,2015-03-09,,Garry D. Malphrus,grant,,,,,unkown
,2014-10-28,,Ellen Liebowitz,remand,,,,,male
,2015-12-09,Guatemala,Gabriel Gonzalez,remand,,,,,male
,2015-12-08,Mexico,Michael P. Baird,remand,,,,,male
,2015-12-01,Mexico,Joan B. Geller,terminate,,,,,male
,2017-03-06,Brazil,Charles Adkins-Blanch; Ana Landazabal Mann,remand,,,,,male
,2015-12-11,Mexico,Joan B. Geller; Garry D. Malphrus,sustain,,,,,male
,2015-10-29,Mexico,Anne J. Greer,remand,,,,,male
,2015-04-29,Mexico,Joan B. Geller; Garry D. Malphrus,sustain,,,,,male
,2017-06-01,Guatemala,Charles Adkins-Blanch; Ana Landazabal Mann,deny,,family-based,family,,male
,2015-07-23,Jamaica,Hugh Mullane,terminate,,,,,male
,2017-05-19,Guatemala,Hugh Mullane,dismiss,,,,,male
,2017-10-18,Mexico,Anne J. Greer,remand,,,,,male
,2015-06-26,Honduras,Michael P. Baird,grant,,,,,female
,2017-06-08,Haiti,Edward F. Kelly,dismiss,,,,,male
,2017-12-29,Mexico,Ellen Liebowitz; Michael J. Creppy; Hugh Mullane,deny,,,,,male
,2015-03-25,Mexico,Anne J. Greer; Joan B. Geller,,,,,,male
,2015-01-02,Mexico,Charles Adkins-Blanch; Gabriel Gonzalez,remand,,,,,male
,2017-12-20,,Ellen Liebowitz,return,,,,,unkown
,2015-09-02,India,Ana Landazabal Mann,remand,,,,,female
asylum; withholding_of_removal; CAT,2017-08-07,Honduras,Ellen Liebowitz; Anne J. Greer,remand,social,family-based,husband; child,,female
,2015-11-30,El Salvador,Edward R. Grant,deny,,,,,male
,2017-01-16,Mexico,Ana Landazabal Mann; Edward F. Kelly,sustain,,,,,male
,2017-04-20,Mexico,Michael J. Creppy; Garry D. Malphrus; Hugh Mullane,remand,,,,,male
,2017-03-14,,Charles Adkins-Blanch; Edward R. Grant,sustain,,,,,female
,2017-08-18,Mexico,Edward F. Kelly; Ana Landazabal Mann,remand,,,,,male
,2017-01-06,Mexico,Garry D. Malphrus,deny,,gang-based,gang,,male
,2017-12-26,Honduras,Anne J. Greer,deny,nationality,,,,male
,2017-12-01,Serbia,Anne J. Greer,remand,,family-based,husband; family; child,,female
,2016-02-26,Kenya,Edward F. Kelly; Ana Landazabal Mann,sustain,,family-based,family; child,,male
,2017-04-28,,Anne J. Greer; Hugh Mullane,remand,,,,,male
asylum; withholding_of_removal; CAT,2017-08-29,Mexico,Anne J. Greer,remand,social,gang-based; family-based,gang; family,,male
,2017-02-15,Mexico,Michael J. Creppy; Anne J. Greer,sustain,,,,,male
,2017-03-22,El Salvador,Anne J. Greer,remand,,,,,female
asylum; withholding_of_removal,2017-08-17,El Salvador,Charles Adkins-Blanch; Edward F. Kelly,remand,nationality,family-based,wife,,male
,2017-03-22,,Ana Landazabal Mann; Garry D. Malphrus,sustain,nationality,,,,female
,2017-03-03,El Salvador,Charles Adkins-Blanch; Ana Landazabal Mann,terminate,,,,,male
asylum; withholding_of_removal; CAT,2017-05-04,Honduras,Anne J. Greer,remand,political,gang-based,gang,,male
,2017-04-14,India,Garry D. Malphrus; Hugh Mullane,remand,,,,,male
,2017-09-05,,Anne J. Greer,remand,,,,,male
,2017-04-07,Guatemala,Anne J. Greer,dismiss,,,,,female
,2017-03-06,Guatemala,Edward F. Kelly,remand,,,,,male
,2017-03-21,India,Charles Adkins-Blanch; Blair O'Connor,sustain,,family-based,wife,,male
asylum; withholding_of_removal,2017-08-18,Guatemala,Anne J. Greer,remand,,family-based,son; family; wife,,male
,2017-04-26,,Ana Landazabal Mann; William A. Cassidy; Edward F. Kelly,remand,,,,,male
,2017-10-20,,Charles Adkins-Blanch; Edward F. Kelly,sustain,,,,,male
